defect_id,zone_name,defect_type,centroid_x_px,centroid_y_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,area_px,area_um,perimeter_px,perimeter_um,major_px,major_um,minor_px,minor_um,confidence_score,detection_methods
1,core,Scratch,209,418,8,217,403,403,127106.0,,1333.8519353866577,,403,,403,,1.00,do2mr|lei|fallback
2,cladding,Region,56,853,51,848,10,8,10.0,,32.14213526248932,,3.5682482323055424,,3.5682482323055424,,0.33,fallback
3,cladding,Region,11,832,8,826,8,18,11.0,,62.28427064418793,,3.742410318509555,,3.742410318509555,,0.33,fallback
4,cladding,Region,66,817,64,814,8,7,12.0,,22.485281229019165,,3.9088200952233594,,3.9088200952233594,,0.33,fallback
5,cladding,Region,44,783,41,777,10,11,11.0,,34.14213538169861,,3.742410318509555,,3.742410318509555,,0.33,fallback
6,cladding,Region,19,781,16,776,8,10,11.0,,26.14213538169861,,3.742410318509555,,3.742410318509555,,0.33,fallback
7,cladding,Region,556,672,555,670,6,5,10.0,,14.485281229019165,,3.5682482323055424,,3.5682482323055424,,0.33,fallback
8,cladding,Region,2,55,0,53,7,10,10.5,,29.55634891986847,,3.656366395715726,,3.656366395715726,,0.33,fallback
9,cladding,Scratch,351,417,2,0,711,864,223292.0,,4912.569205403328,,864,,711,,1.00,do2mr|lei|fallback
10,cladding,Region,78,5,71,0,12,11,15.0,,41.455843687057495,,4.370193722368317,,4.370193722368317,,0.33,fallback
11,ferrule_contact,Region,898,812,894,810,10,6,11.5,,23.899494647979736,,3.826519928662906,,3.826519928662906,,0.33,fallback
12,ferrule_contact,Region,1029,780,1025,779,11,7,10.5,,29.55634891986847,,3.656366395715726,,3.656366395715726,,0.33,fallback
13,ferrule_contact,Region,1021,775,1016,774,13,4,10.5,,30.38477599620819,,3.656366395715726,,3.656366395715726,,0.33,fallback
14,ferrule_contact,Region,1130,817,1110,773,42,91,451.5,,278.83556735515594,,23.976397862229554,,23.976397862229554,,0.67,do2mr|fallback
15,ferrule_contact,Region,1042,744,1039,741,9,8,11.5,,27.55634891986847,,3.826519928662906,,3.826519928662906,,0.33,fallback
16,ferrule_contact,Region,1137,729,1134,725,11,11,11.0,,47.455843448638916,,3.742410318509555,,3.742410318509555,,0.33,fallback
17,ferrule_contact,Region,933,702,926,701,12,4,10.0,,24.485281229019165,,3.5682482323055424,,3.5682482323055424,,0.33,fallback
18,ferrule_contact,Region,678,648,677,646,5,5,10.0,,12.485281229019165,,3.5682482323055424,,3.5682482323055424,,0.33,fallback
19,ferrule_contact,Region,748,639,746,638,6,6,10.0,,16.485281229019165,,3.5682482323055424,,3.5682482323055424,,0.33,fallback
20,ferrule_contact,Region,892,518,887,516,11,5,11.5,,26.727921724319458,,3.826519928662906,,3.826519928662906,,0.33,fallback
21,ferrule_contact,Region,779,479,776,477,9,7,13.0,,26.14213526248932,,4.068428945128219,,4.068428945128219,,0.33,fallback
22,ferrule_contact,Region,1110,288,1109,284,4,9,11.5,,20.242640614509583,,3.826519928662906,,3.826519928662906,,0.33,fallback
23,ferrule_contact,Region,1092,249,1090,245,7,8,28.0,,26.485281229019165,,5.970821321441846,,5.970821321441846,,0.33,fallback
24,ferrule_contact,Region,916,91,912,89,11,5,11.0,,26.97056245803833,,3.742410318509555,,3.742410318509555,,0.33,fallback
25,ferrule_contact,Region,924,88,920,85,9,9,13.5,,27.55634880065918,,4.145929793656026,,4.145929793656026,,0.33,fallback
26,ferrule_contact,Region,1098,74,1094,68,9,13,12.5,,35.21320295333862,,3.989422804014327,,3.989422804014327,,0.33,fallback
27,ferrule_contact,Region,980,63,975,59,12,8,11.0,,35.79898941516876,,3.742410318509555,,3.742410318509555,,0.33,fallback
28,ferrule_contact,Region,1136,31,1121,0,31,64,310.5,,181.09545278549194,,19.88318079785697,,19.88318079785697,,0.67,do2mr|fallback
29,ferrule_contact,Scratch,663,427,448,0,294,864,7638.0,,2530.296795487404,,864,,294,,1.00,do2mr|lei|fallback
30,adhesive,Scratch,1147,40,1141,32,11,19,76.5,,64.04163014888763,,19,,11,,0.67,lei|fallback
31,adhesive,Scratch,1148,3,1145,0,7,8,16.0,,31.313708305358887,,8,,7,,0.67,lei|fallback
32,adhesive,Scratch,1137,2,1130,0,14,16,46.5,,73.69848430156708,,16,,14,,0.67,lei|fallback
