Defect_ID,Zone,Type,Centroid_X_px,Centroid_Y_px,Area_px2,Area_um2,Perimeter_px,Perimeter_um,Major_Dim_px,Major_Dim_um,Minor_Dim_px,Minor_Dim_um,Confidence,Detection_Methods
1,ferrule_contact,Scratch,592,797,25.00,1.47,56.63,13.72,25.95,6.29,2.43,0.59,0.400,do2mr; lei
2,ferrule_contact,Scratch,571,790,18.00,1.06,20.49,4.96,8.54,2.07,3.48,0.84,0.400,do2mr; lei
3,ferrule_contact,Scratch,792,780,15.00,0.88,42.63,10.32,19.68,4.77,2.23,0.54,0.400,do2mr; lei
4,cladding,Scratch,604,752,12.50,0.73,13.07,3.17,4.24,1.03,3.54,0.86,0.600,adaptive; canny; lei
5,ferrule_contact,Scratch,835,755,33.50,1.97,61.01,14.78,28.02,6.79,3.02,0.73,0.400,do2mr; lei
6,ferrule_contact,Scratch,860,736,28.50,1.67,34.87,8.45,15.73,3.81,3.25,0.79,0.400,do2mr; lei
7,ferrule_contact,Scratch,888,709,77.50,4.55,103.78,25.14,48.16,11.67,3.58,0.87,0.400,do2mr; lei
8,ferrule_contact,Scratch,910,682,20.00,1.17,31.80,7.70,14.41,3.49,3.14,0.76,0.400,do2mr; lei
9,ferrule_contact,Scratch,934,637,170.00,9.97,153.20,37.11,69.35,16.80,5.31,1.29,0.400,do2mr; lei
10,cladding,Scratch,847,578,16.50,0.97,58.87,14.26,26.57,6.44,1.98,0.48,0.200,do2mr
11,core,Scratch,574,533,60.00,3.52,63.66,15.42,29.00,7.02,3.00,0.73,0.400,do2mr; lei
12,cladding,Scratch,436,520,56.00,3.29,39.46,9.56,17.02,4.12,5.15,1.25,0.600,adaptive; do2mr; lei
13,core,Scratch,511,511,273.00,16.02,176.79,42.82,72.90,17.66,11.80,2.86,0.400,do2mr; lei
14,core,Scratch,646,502,331.50,19.45,204.01,49.41,91.22,22.09,13.44,3.25,0.200,lei
15,core,Scratch,503,437,212.00,12.44,172.51,41.78,78.71,19.06,8.03,1.94,0.400,do2mr; lei
16,core,Scratch,556,370,96.00,5.63,146.31,35.44,68.60,16.61,5.51,1.34,0.400,do2mr; lei
17,core,Scratch,523,393,641.50,37.64,303.20,73.44,137.13,33.22,18.19,4.41,0.200,do2mr
18,cladding,Scratch,848,292,25.50,1.50,49.36,11.95,22.80,5.52,2.57,0.62,0.400,do2mr; lei
19,core,Scratch,718,521,8015.50,470.25,2549.40,617.50,389.07,94.24,325.05,78.73,0.200,lei
20,core,Scratch,645,492,14031.50,823.20,4580.78,1109.53,590.00,142.91,583.00,141.21,0.200,lei
21,ferrule_contact,Scratch,195,605,3323.50,194.98,1462.64,354.27,630.26,152.66,117.11,28.37,0.200,lei
22,ferrule_contact,Scratch,260,206,11.50,0.67,22.73,5.51,10.00,2.42,3.00,0.73,0.400,do2mr; lei
23,ferrule_contact,Scratch,269,195,22.00,1.29,33.46,8.10,14.21,3.44,3.07,0.74,0.400,do2mr; lei
24,ferrule_contact,Scratch,1064,204,2131.50,125.05,861.73,208.72,387.81,93.93,44.08,10.68,0.200,lei
25,adhesive,Scratch,415,24,13.50,0.79,15.07,3.65,5.00,1.21,4.00,0.97,0.600,adaptive; canny; lei
