defect_id,zone,classification,centroid_x_px,centroid_y_px,length_um,width_um,width_px,area_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px
img63_D1,Contact,Scratch,526.5,146.5,,,2.1828205585479736,16,523,145,8,4
img63_D2,Contact,Scratch,645.5,146.5,,,7.033533096313477,16,642,145,8,4
img63_D3,Contact,Scratch,394.25894988066824,233.25894988066827,,,43.84061813354492,838,308,147,214,214
img63_D4,Contact,Scratch,777.7410501193317,233.25894988066827,,,299.8132629394531,838,651,147,214,214
img63_D5,Adhesive,Scratch,474.7589641434263,313.7589641434263,,,28.991374969482422,502,423,262,131,131
img63_D6,Adhesive,Scratch,697.2410358565737,313.7589641434263,,,182.4335479736328,502,619,262,131,131
img63_D7,Cladding,Scratch,487.0,325.31595092024537,,,14.576844215393066,326,451,289,87,84
img63_D8,Cladding,Scratch,686.8181818181819,325.1818181818182,,,12.020814895629883,33,682,320,10,11
img63_D9,Cladding,Scratch,705.4130434782609,348.7826086956522,,,18.30510711669922,46,700,341,12,17
img63_D10,Cladding,Scratch,714.1521739130435,365.69565217391306,,,13.86362075805664,46,711,359,8,14
img63_D11,Contact,Scratch,307.5,365.5,,,2.1828205585479736,16,306,362,4,8
img63_D12,Contact,Scratch,864.5,365.5,,,7.033533096313477,16,863,362,4,8
img63_D13,Core,Pit/Dig,583.6507419471588,429.528773072747,,,122.0,2763,524,365,124,123
img63_D14,Cladding,Scratch,722.18,386.1,,,23.76337432861328,50,718,375,9,24
img63_D15,Cladding,Scratch,720.3483146067416,468.91011235955057,,,3.1622772216796875,89,714,452,13,34
img63_D16,Adhesive,Scratch,474.7589641434263,536.2410358565737,,,182.4335479736328,502,423,458,131,131
img63_D17,Adhesive,Scratch,697.2410358565737,536.2410358565737,,,28.991374969482422,502,619,458,131,131
img63_D18,Cladding,Scratch,485.10725552050474,521.6624605678234,,,125.88900756835938,317,448,470,90,92
img63_D19,Contact,Scratch,307.5,484.5,,,7.033533096313477,16,306,481,4,8
img63_D20,Contact,Scratch,864.5,484.5,,,2.1828205585479736,16,863,481,4,8
img63_D21,Cladding,Scratch,697.9632352941177,510.55882352941177,,,4.225793838500977,136,681,489,33,42
img63_D22,Contact,Scratch,394.25894988066824,616.7410501193317,,,299.8132629394531,838,308,490,214,214
img63_D23,Contact,Scratch,777.7410501193317,616.7410501193317,,,43.84061813354492,838,651,490,214,214
img63_D24,Cladding,Scratch,669.1166666666667,539.6166666666667,,,2.526735782623291,60,659,532,21,16
img63_D25,Cladding,Pit/Dig,631.0,559.5,,,2.2135939598083496,16,628,558,7,4
img63_D26,Contact,Scratch,526.5,703.5,,,7.033533096313477,16,523,702,8,4
img63_D27,Contact,Scratch,645.5,703.5,,,2.1828205585479736,16,642,702,8,4
